doc_id,template_id,comment,title,link,youtube_title,youtube_descp,youtube_trans
0nlN499x,Albuquerque Pulse,"Evidently, reading isn't their strongest attribute,these shameless douchbags!!",Roswell Animal Shelter Mistakenly Euthanizes Dog Tagged for Rescue Amidst Staff Training,https://newsbreak.com/n/0nlN499x,Animal shelter accidentally euthanizes a dog that had been tagged to be rescued,Animal shelter accidentally euthanizes a dog that had been tagged to be rescued,a stray dog that was supposed to get a second chance at life was accidentally euthanized earlier this week the big mistake comes after an out-of-state nonprofit had already agreed to rescue him news 13's Carla Sosa asked the city of Roswell how this happened the dog was tagged before the three o'clock and they took him and killed him anyway Samuel Flair is talking about two-year-old Giles the two-year-old Shepherd mix was taken into Roswell Animal Services on July 11th alongside Jillian a soon-to-be mom of three puppies Giles was put on the euthanasia list so the non-profit friends of Roswell animals stepped in to save him so we had already worked and arranged to get a special flight to Washington on the 9th of August but volunteers didn't want to separate Giles from his little family so they worked with another non-profit Noah Center in Washington state to save all five dogs they said we're gonna take the mom and babies but we can't leave Giles behind because we just don't do that if they came in together we're going to take the whole family LaFlare says her non-profit has been working with City animal services for several years saving around 1500 animals per year but this time around something went wrong despite Giles being tagged as safe from euthanasia a miscommunication led to him being put down when we finally asked for the dog that we had the tag on we were told that he was no longer in the system and we started figuring out that they had already euthanized animals the city of Roswell says Animal Services was in the midst of a busy day of Staff training which led to confusion ending with a big mistake despite friends of Roswell animals greatest attempts to keep the five dogs together Jillian and her pups will be flying to Washington on their own Carlos Sosa KRQE News 13. the city says they're reinforcing their communication practices to make sure this doesn't happen again we've posted their entire statement on what happened at always on krqe.com
0nlSa8by,Albuquerque Pulse,no such thing as monsoon in New Mexico. I hear about them every year and have never seen it.,Record Heat Expected in Key Areas As Monsoon Storms Subside,https://newsbreak.com/n/0nlSa8by,Heat wave begins to rebuild over New Mexico with near-record temps,"Eric KOAT 7 Weather Forecast for August 3, 2023 Subscribe to KOAT on YouTube now for more: http://bit.ly/1jocB9r Get more Albuquerque news: http://www.koat.com Like us: http://facebook.com/KOAT7 Follow us: https://twitter.com/koat7news Instagram: https://www.instagram.com/koat7/","BUSTLING WITH STUDENTS AND PARENTS AND SOME TEACHERS. AND EARLIER START FOR MY FAMILY. SO WE'RE KIND OF ADJUSTING TO THAT NEW SCHEDULE. I KNOW OUR NIECE, SUSAN HIGH SCHOOL, SHE'S GOING TO GET TO SLEEP IN A LITTLE BIT THIS THIS MORNING. SO I DON'T KNOW WHERE YOU'RE ATT WITH BOTH OF MY KIDS ARE ON LATER STARTS. OKAY. YEAH. GUS IS ALMOST WRAPPING UP ELEMENTARY SCHOOL. IT'S GOING TO TAKE SOME ADJUSTMENT, YOU KNOW, JUST LIKE, OKAY, WHEN DOES THE BUS COME BACK HOME? LATER ON TODAY. FIRST OUTFIT, ROYAL MONROE HAVE IT PICKED OUT OR. YES, WE PICKED IT OUT LAST NIGHT, SO, OKAY, IT'S READY TO GO. WELL, IT'S A VERY IMPORTANT THING ON THIS. FIRST THAT IN THE BACKPACK. YEAH. BIG, BIG SCHOOL DECISIONS. YEAH. AND A NEW BACKPACK I'M SURE TO START THE YEAR. WELL, MONSOON STORMS STILL MAY FIRE TODAY, BUT WE'RE ABOUT TO SHUT OFF THE MONSOON MOISTURE FEED AND CRANK UP THE HEAT AGAIN. CHALLENGING HIGH TEMPERATURE RECORDS ALMOST EVERY DAY OF THE NEXT SEVEN. AND IT LOOKS LIKE THIS HEAT IS GOING TO HOLD PROBABLY THROUGH NEXT WEEK AS WELL. IT'LL BE 90S AND TRIPLE DIGITS TODAY, BUT ONLY TO ABOUT 100IN SOUTHERN NEW MEXICO. AND YOU KNOW WHAT? SOME OF OUR UPPER ELEVATION NORTHERN MOUNTAIN CITIES MAY NOT TOUCH 90 DEGREES, BUT WE'LL BE CLOSE IN TAOS AND SANTA FE. OUR RAIN CHANCE IS ABOUT ZEROED OUT FOR ALBUQUERQUE AND SANTA FE. SOUTHERN EASTER, NEW MEXICO. THOSE WILL BE THE AREAS MOST FAVORED FOR THE SCATTERED STORMS. AND WE'LL WATCH UNION COUNTY SPOTS UP AROUND CLAYTON, FAR NORTHEAST NEW MEXICO FOR SOME SEVERE WEATHER POTENTIAL LATER ON TODAY. AND ON THE SACRAMENTO MOUNTAINS, WE DO HAVE THE POTENTIAL FOR SOME HEAVY RAINFALL AND THAT'S WHERE WE'VE GOT A FLASH FLOOD WATCH IN EFFECT FROM NOON UNTIL SEVEN TODAY. RAIN COMING TO AN END OVERNIGHT. WE'LL HOPE TO DROP BELOW 70 AND ALBUQUERQUE, BUT JUST BARELY FORECAST LOW AT 68, 99 EXPECTED FOR OUR FRIDAY. SO THE HEAT GROWING FRIDAY, STILL MAYBE A COUPLE OF ISOLATED STORMS FAVORING THE SOUTHEASTERN NEW MEXICO HIGH TERRAIN, BUT THAT'LL BE ABOUT IT. THEN BY SATURDAY, I THINK WE'RE DONE WITH THE STORMS. THAT'S AN IMPACT. HEAT, 100 DEGREE, HIGH TEMPERATURE. I BELIEVE THAT WOULD BREAK THE RECORD ON SATURDAY. SHOULD BE ALL THE WAY DRY. SATURDAY, ROSWELL UP AT 108, CARLSBAD, 107. SO HEAT ADVISORIES WILL BE GROWING SUNDAY I THINK THINK THAT'S A RECORD TYING 100 NOTE BY SUNDAY EVENING. WE'VE GOT A BACKDOOR COLD FRONT GETTING INTO NORTHEAST NEW MEXICO AND THAT SHOULD ACT TO DROP THE HEAT SLIGHTLY FOR ABOUT A DAY EARLY NEXT WEEK ON MONDAY. BUT EVEN AT THAT WILL STILL BE CHALLENGING. A RECORD HIGH TEMPERATURE IN MOST SPOTS, NORTHWEST NEW MEXICO FOR CORNERS AREA DRIED OUT. YOUR FORECAST FOR THE NEXT SEVERAL DAYS AFTER TODAY'S 92, WE'RE HEADED FOR THE MID-NINETIES AND STAYING THERE AT LEAST THROUGH THE WEEKEND. HERE'S SOUTHWEST NEW MEXICO, 92, SILVER CITY, ABOUT 100 OFF THE MOUNTAINS. STILL A CHANCE TO SCATTERED, ISOLATED STORMS TODAY. BUT THEN WE'RE DRY AND WE'RE UP BY ABOUT FIVE DEGREES BY THE WEEKEND. THAT'LL PUT THOSE CITIES OFF THE MOUNTAINS UP IN THAT 105 RANGE HEAT GROWING IN SOUTHEAST NEW MEXICO. WE'VE GOT HIGHS IN THE TRIPLE DIGITS. AND THEN A CHANCE AT LATE DAY STORMS. WE'RE DRY FRIDAY, SATURDAY, SUNDAY, I THINK. AND THOSE WILL BE HEAT ADVISORY 105 PLUS HOURS FOR YOU AT LEAST THROUGH THE WEEKEND. HERE'S NORTHEAST NEW MEXICO. GOT VEGAS AT 90 TODAY. THERE IS A SLIGHT CHANCE THAT STORMS, MAYBE EVEN A SEVERE WEATHER THREAT FOR THE FAR NORTHEAST. THEN WE DO DRY IT OUT INTO AND THROUGH THE WEEKEND AND KEEP THOSE HIGHS INTO THE 90S. SATURDAY, PROBABLY THE HOTTEST DAY. THEN THE LITTLE HEAT RELIEF EARLY NEXT WEEK, 94 IN ESPANOLA NEAR 90 IN SANTA FE, GOT TAOS AT 88 DEGREES, PROBABLY DRY HERE IN NORTH CENTRAL NEW MEXICO. AND IT'S GOING TO BE LOW 90 STARTING TOMORROW AND STAYING THAT WAY RIGHT ON INTO THE MIDDLE OF NEXT WEEK FOR THE ALBUQUERQUE METRO HIT 96 YESTERDAY. THAT'S THE NUMBER WE EXPECT AGAIN TODAY. STORM CHANCES PRETTY LOW TODAY ESSENTIALLY ZEROED OUT THAT WOULD BE ONE SHY OF THE RECORD TOMORROW AT 99 IMPACT HEAT FOR THE WEEKEND RECORD BREAKER SATURDAY RECORD HIGHER SUNDAY MONDAY WERE TWO BELOW THE RECORD HIGH AND THEN WE'RE BREAKING A RECORD MAYBE ON TUESDAY AGAIN NEXT WEEK AND TYING IT ON WEDNESDAY. BIG"
0nkoohi9,Albuquerque Pulse,"Please, Trump couldn't do anything. the state legislature would have had to pick new electors based on fraud in the voting. Please stop the nonsense",Former President Trump's Indictment Raises Questions Over 'Fake Elector Scheme' in New Mexico,https://newsbreak.com/n/0nkoohi9,Unknown if charges applicable in New Mexico 'fake election scheme',Read: https://www.krqe.com/news/new-mexico/how-the-trump-fake-electors-scheme-became-a-corrupt-plan-according-to-the-indictment/,well the indictment of former president Donald Trump yesterday led to renewed questions about whether those involved in the fake elector scheme here in New Mexico will be charged with a crime we asked the Attorney General about it and he said the previous administration referred this matter to the U.S Department of Justice and they are waiting on more information from the Department hopefully once we get more clarity on who was involved what was said and what was done then we'll be in a position to evaluate whether or not there are applicable criminal charges Torres also referred the charges filed against 16 fake electors in Michigan two weeks ago but said those two cases are very different in one key aspect the Declaration that was used by the by the fake collectors had no qualifiers in it at all so if you pull that up it says we are the duly elected electives for the state of Michigan New Mexico's has been nuanced in some way and it looks like an attorney was engaged to sort of hedge what the Declaration was going to be meanwhile the former president is due in court tomorrow his attorney says he will be there in person if security Arrangements can be made
0njgoJiy,Albuquerque Pulse,No they have not,"COVID-19 Cases Decrease in New Mexico, Health Officials Urge Continued Caution",https://newsbreak.com/n/0njgoJiy,NM Department of Health COVID-19 reports show overall decrease,NM Department of Health COVID-19 reports show overall decrease Subscribe to KOAT on YouTube now for more: http://bit.ly/1jocB9r Get more Albuquerque news: http://www.koat.com Like us: http://facebook.com/KOAT7 Follow us: https://twitter.com/koat7news Instagram: https://www.instagram.com/koat7/,"STEPH. HEY, RON. WELL, THE NEW MEXICO DEPARTMENT OF HEALTH HAS CONTINUED TO KEEP TRACK OF THOSE TRENDS, INCLUDING HOSPITALIZED NATIONS AROUND THE STATE. AND ACCORDING TO THOSE TRENDS, THERE'S AN OVERALL DECREASE IN THE NEW MEXICO RIGHT NOW. OVERALL, THE TRENDS FOR HOSPITALIZATIONS AND CASES HAVE GONE DOWN, AND WE ARE SEEING JUST A TINY, TINY LITTLE UPTICK, JUST LIKE THE REST OF THE COUNTRY. BUT NOTHING COMPARED TO YEARS PAST. THAT'S A DIFFERENCE THAT THE DEPUTY SECRETARY FOR HEALTH SAYS. I THINK IT'S A GOOD, REALLY GOOD SIGN THAT WE'RE NOT WHERE WE USED TO BE. ACCORDING TO THE MONTHLY COVID CASE UPDATE, THE MAJORITY OF REPORTED CASES ARE AMONG PEOPLE BETWEEN 18 AND 34 YEARS OLD. DR. PATTERSON SAYS WITH THE RETURN TO SCHOOL, IT'S REALLY IMPORTANT THAT WE PROTECT OUR KIDS FROM COVID. AND YOU DON'T WANT YOUR KID TO GET SICK FROM SOMETHING THAT'S SUPER PREVENTABLE. ALTHOUGH COVID TRENDS ARE SHOWING THAT THE WORST OF COVID HAS PASSED, US, SOME PEOPLE ARE STILL GETTING SICK. NOW THINGS ARE BETTER THAN THEY WERE BEFORE. AND IF WE WE STILL TAKE PRECAUTIONS, YOU KNOW, IF YOU'RE A PERSON AT HIGH RISK FOR SEVERE COVID, YOU SHOULD STILL TAKE PRECAUTIONS. ONE OF THE PRECAUTIONS IS STAYING UP TO DATE ON BOOSTER SHOTS BECAUSE WE WANT TO PROTECT OUR ELDERS AND WE WANT TO MAKE SURE YOU GET THAT NEXT BOOSTER BECAUSE OVER TIME, YOUR YOUR IMMUNITY FROM THE VACCINE GETS LOWER OVER TIME. IT'S LIKE A BATTERY. THE DEPARTMENT OF HEALTH IS CONTINUING TO ENCOURAGE ANYONE WHO IS SICK TO STAY AT HOME AND PREVENT THE FURTHER SPREAD OF THE VIRUS. REPORTING LIVE, STEPHANIE MUNIZ, KOAT ACTION SEVEN NEWS. STEPH, THANK YOU. ACCORD"
0nkoohi9,Albuquerque Pulse,no such thing as fake electors. you can bring the case but you'll lose in the Supreme Court. so much propaganda these days it's crazy. democrats treat it as facts,Former President Trump's Indictment Raises Questions Over 'Fake Elector Scheme' in New Mexico,https://newsbreak.com/n/0nkoohi9,Unknown if charges applicable in New Mexico 'fake election scheme',Read: https://www.krqe.com/news/new-mexico/how-the-trump-fake-electors-scheme-became-a-corrupt-plan-according-to-the-indictment/,well the indictment of former president Donald Trump yesterday led to renewed questions about whether those involved in the fake elector scheme here in New Mexico will be charged with a crime we asked the Attorney General about it and he said the previous administration referred this matter to the U.S Department of Justice and they are waiting on more information from the Department hopefully once we get more clarity on who was involved what was said and what was done then we'll be in a position to evaluate whether or not there are applicable criminal charges Torres also referred the charges filed against 16 fake electors in Michigan two weeks ago but said those two cases are very different in one key aspect the Declaration that was used by the by the fake collectors had no qualifiers in it at all so if you pull that up it says we are the duly elected electives for the state of Michigan New Mexico's has been nuanced in some way and it looks like an attorney was engaged to sort of hedge what the Declaration was going to be meanwhile the former president is due in court tomorrow his attorney says he will be there in person if security Arrangements can be made
0nl5tzGb,Albuquerque Pulse,"Karma. The title of this piece should read ""New Mexico Fake Electors Indicted"".",New Mexico Implicated in Indictment Related to 2020 Election Controversy,https://newsbreak.com/n/0nl5tzGb,Federal charges filed against President Trump have a New Mexico tie with possible co-conspirators,New Mexico's ties to President Trump's indictment Subscribe to KOAT on YouTube now for more: http://bit.ly/1jocB9r Get more Albuquerque news: http://www.koat.com Like us: http://facebook.com/KOAT7 Follow us: https://twitter.com/koat7news Instagram: https://www.instagram.com/koat7/,"IN THE INDICTMENT, NEW MEXICO HAS MENTIONED SEVERAL TIMES OUR STATE ACCUSED OF HAVING COCONSPIRATORS WHO TRIED TO HELP OVERTURN THE 2020 ELECTION. ACTION 7 NEWS REPORTER JOHN CARDINAL IS HERE NOW. JOHN, REMIND US WHAT HAPPENED EARLIER LAST YEAR AND HOW IT RELATES TO THIS INDICTMENT. YEAH, SHELLEY, DOUG, BEFORE WE GO INTO THE DETAILS, IT'S IMPORTANT TO KNOW IN NEW MEXICO, EACH POLITICAL PARTY GETS FIVE ELECTORS. THE PARTY THAT WINS SENDS THEIR ELECTORS TO THE CAPITOL IN SANTA FE TO CAST THEIR VOTES IN THE ELECTORAL COLLEGE PROCESS. THE PARTY THAT LOSES IS SUPPOSED TO DO NOTHING IN THE 2020 PRESIDENTIAL ELECTION. NEW MEXICO'S DEMOCRATIC ELECTORS WERE CALLED UPON TO CAST BALLOTS. WHEN YOU GO AND VOTE FOR A PRESIDENTIAL CANDIDATE, TECHNICALLY YOU'RE VOTING FOR A SLATE OF ELECTORS WHO ARE PLEDGED. THEIR LOYALTY TO THAT CANDIDATE. THOSE DEMOCRATIC ELECTORS MET AT THE SECRETARY OF STATE'S OFFICE AND FILLED OUT THIS CERTIFYING THAT WENT TO CONGRESS AND TO THE NATIONAL ARCHIVE. IT'S O. JOE BIDEN WON BY A COMFORTABLE MARGIN. THE BIDEN ELECTORS MUST VOTE FOR JOE BIDEN. THAT SAME DAY IN DECEMBER 2020, THE STATE'S REPUBLICAN PARTY SENT OUT THIS PRESS RELEASE. STATE. THEY REQUESTED THEIR FIVE ELECTORS VOTE FOR DONALD TRUMP. GIVEN THE PENDING LITIGATION CONCERNING THE ELECTION RESULTS. BUT WHEN THE ELECTORS GOT TO SANTA FE, THEY WERE TURNED AWAY BY THE SECRETARY OF STATE. THEY DID, HOWEVER, SIGN THIS CERTIFICATE OF VOTES FOR TRUMP AND PENCE AND SENT IT TO WASHINGTON. A TARGET 7. AN INVESTIGATION FOUND TWO OF THE FIVE REPUBLICAN ELECTORS WHO SIGNED THAT CERTIFICATE WERE CALLED UPON TO TESTIFY BEFORE THE JANUARY SIXTH COMMITTEE. SO LET'S FAST FORWARD TO YESTERDAY. NEW MEXICO WAS ONE OF THE SEVEN STATES. IT WAS WAY DOWN ON THEHE LIST AS FAR AS THE PRIORITY, BUT IT STILL MADE THE LIST AS FAR AS THE INDICTMENT. SO IT THROWS NEW MEXICO INTO THIS MIX IN A VERY INTERESTING AND SIGNIFICANT WAY. FORMER PRESIDENT DONALD TRUMP'S INDICTMENT MENTIONS NEW MEXICO EIGHT TIMES AND LISTS US AS ONE OF THE STATES TO HAVE COCONSPIRATORS WHO TRIED TO SEND FALSE CERTIFICATION TO THE VICE PRESIDENT IN CONGRESS. WE ASKED OUR LEGAL EXPERT, WHAT CAN HAPPEN TO THOSE COCONSPIRATORS? WELL, WE DON'T KNOW EXACTLY THE EXTENT OF THEIR LIABILITY, IF THERE'S ANY CRIMINAL LIABILITY. I THINK WHAT'S MORE LIKELY AND WE'VE SEEN THIS IN OTHER CASES, IS THAT THESE ELECTORS MAY HAVE CUT A DEAL WITH PROSECUTORS TO GIVE INFORMATION ABOUT HOW THE SCHEME WENT DOWN. THE INDICTMENT ALSO CLAIMS AN ATTORNEY IN NEW MEXICO HELPED ASSIST IN THE ALLEGED FRAUDULENT ELECTOR EFFORT. IF YOU'RE A LICENSED ATTORNEY AND YOU ENGAGE IN ANY SORT OF FRAUDULENT ACTIVITY OR ACTIVITY THAT'S DEEMED CRIMINAL, NOT ONLY COULD YOU FACE CRIMINAL PROSECUTION, YOU CAN LOSE YOUR LAW LICENSES. AND ACCORDING TO THE INDICTMENT, THE ALLEGED NEW MEXICO COCONSPIRATOR STILL SENT A LETTER TO WASHINGTON, EVEN THOUGH FORMER PRESIDENENT TRUMP LOST BY MORE THAN 10% OF THE POPULAR VOTE IN OUR"
0nlN499x,Albuquerque Pulse,Damn. C'mon. Do Better.,Roswell Animal Shelter Mistakenly Euthanizes Dog Tagged for Rescue Amidst Staff Training,https://newsbreak.com/n/0nlN499x,Animal shelter accidentally euthanizes a dog that had been tagged to be rescued,Animal shelter accidentally euthanizes a dog that had been tagged to be rescued,a stray dog that was supposed to get a second chance at life was accidentally euthanized earlier this week the big mistake comes after an out-of-state nonprofit had already agreed to rescue him news 13's Carla Sosa asked the city of Roswell how this happened the dog was tagged before the three o'clock and they took him and killed him anyway Samuel Flair is talking about two-year-old Giles the two-year-old Shepherd mix was taken into Roswell Animal Services on July 11th alongside Jillian a soon-to-be mom of three puppies Giles was put on the euthanasia list so the non-profit friends of Roswell animals stepped in to save him so we had already worked and arranged to get a special flight to Washington on the 9th of August but volunteers didn't want to separate Giles from his little family so they worked with another non-profit Noah Center in Washington state to save all five dogs they said we're gonna take the mom and babies but we can't leave Giles behind because we just don't do that if they came in together we're going to take the whole family LaFlare says her non-profit has been working with City animal services for several years saving around 1500 animals per year but this time around something went wrong despite Giles being tagged as safe from euthanasia a miscommunication led to him being put down when we finally asked for the dog that we had the tag on we were told that he was no longer in the system and we started figuring out that they had already euthanized animals the city of Roswell says Animal Services was in the midst of a busy day of Staff training which led to confusion ending with a big mistake despite friends of Roswell animals greatest attempts to keep the five dogs together Jillian and her pups will be flying to Washington on their own Carlos Sosa KRQE News 13. the city says they're reinforcing their communication practices to make sure this doesn't happen again we've posted their entire statement on what happened at always on krqe.com
0njc04sl,Albuquerque Pulse,As with a lot of children CYFD GIVES A SHIT,New Mexico CYFD Sued Over Wrongful Placement that Led to 8-Year-Old's Death,https://newsbreak.com/n/0njc04sl,Lawsuit: CYFD workers knowingly placed 8-year-old in dangerous situation before her death,Lawsuit: CYFD workers knowingly placed 8-year-old in dangerous situation before her death,three years after an eight-year-old New Mexico girl was killed by her father relatives are now suing the state claiming CYFD knowingly placed the girl in a dangerous situation that would lead to her death news 13's George Gonzalez is in the newsplex with more on the lawsuit the Civil Rights lawsuit accuses two CYFD workers of ignoring an extensive history of abuse by Juan Lerma who's now serving life in prison for killing eight-year-old Samantha Rubino so unbelievably tragic and sad story but it started with some decisions being made that should have focused more on the children's well-being and Welfare and their best interests attorney Michael Hart speaking on a new lawsuit targeting CYFD over the death of eight-year-old Samantha Rubino in 2020 CYFD places the girl and her brother in the care of Rubino's father Juan Lerma who was convicted in rubinos's killing the lawsuit claims that cyfc employs Tony Bustos and Vicki Hobbs placed the girl and her brother in the home while knowingly ignoring that Lerma was Central to Prior reports of abuse he's a known threat and unknown danger to these to these particular children um and decisions were made to overlook that history or to um minimize it in August 2020 Rubino's body was found wrapped inside a trash can outside lermus's Carlsbad home an autopsy showed Robina was beaten to death by Lerma if the policies and procedures had been properly followed and if Common Sense had been had been employed as well that um yeah Samantha would not have she would not have died the way she did attorneys say with lermer already convicted of murder and a pending suit against CYFD in State Court this new federal suit should bring light to what went wrong under the state's supervision it was a system failure the whole system that could have been in place to protects Samantha and her brother didn't work it didn't happen the way it's good now attorneys are also hoping CYFD will work to change some of the Department's policies and procedures as part of this lawsuit back to you all right thank you George CYFD told us today they're still looking into the pending lawsuit but they did say both of the employees named in the court case still work for CYFD
0njkSvxc,Albuquerque Pulse,"Oh funny how their concerned with ""Teachers work I in hot class rooms"" ....But what about these students that have to sit their for 8 damn hrs a day .....and don't get feed well either ha? APS IS FULL OF IT! WHERE'S ALL THE BUDGET GOING I WONDER 🤔..? OH THAT'S RIGHT TO THE GOV and her buddies and the "" upper"" class neighborhoods! while the rest of Albuquerque schools are falling apart! Then wonder why these neighborhoods look terrible and the children are failing!","Albuquerque Schools Face High Heat, Concerns Rising as School Year Approaches",https://newsbreak.com/n/0njkSvxc,APS teacher raises concerns about hot classrooms,"It was the hottest July on record, and now students will be heading to class earlier than ever before. Story: https://www.kob.com/new-mexico/aps-teacher-raises-concerns-about-hot-classrooms/ - Watch KOB 4 Live: https://www.KOB.com/Live - Subscribe to KOB 4: https://www.youtube.com/@KOB4?sub_confirmation=1 - Visit KOB.com: https://www.KOB.com/ - Download the KOB 4 app: https://www.KOB.com/apps/ - Like KOB 4 on Facebook: https://www.facebook.com/KOBTV - Follow KOB 4 on Twitter: https://twitter.com/KOB4 - Follow KOB 4 on Instagram: https://www.instagram.com/kobtv4/",some buildings are working but like half the school's done it was already the hottest July on record and now kids will be heading to class earlier than ever before teachers are already back and already hearing the many schools still don't have working air conditioning Spencer shot spoke to one teacher who was working in this heat Spencer I imagine there's not a lot of Hope there after the forecast that we saw yeah Ryan while this teacher wanted to remain anonymous he says his classroom at Manzano high school is almost unbearable and that's without kids in it he sent us these pictures of the thermostat in his room it was 80 degrees when he walked in then it was closer to 83 when he talked to when I talked to him this afternoon and then yesterday it got up to 91 degrees by the time he left work when I walked in this morning it was hotter in my room than it was outside um and it just throughout the day continues to rise we shared these concerns with APS officials asking for an update on the AC units at schools while they denied an interview today saying This is an issue they've talked to us about before and nothing has changed today the spokesperson did say there will never be a point where all 25 000 AC units in the district will be working at once they are aware of the issue but it could be up to 48 hours before a district technician is able to respond the spokesperson added the ACs are only part of the problem a majority of APs schools rely on evaporated air or swamp coolers and those air systems can only lower the temperature by about 20 degrees in perfect conditions so if it's 100 degrees outside the coolest that classroom will be is 80 degrees but it could get hotter in there if there's any humidity so it seems like these hot classrooms aren't going anywhere anytime soon Ryan yeah good break down there Spencer we've also been reporting on this issue for a couple weeks now are there any plans to upgrade these particular systems yes but all the upgrades will not be done this year we spoke with the executive director of Maintenance and operations at APS the other week and he says they have nearly 30 million dollars of federal funding from covid relief that's going to go towards upgrading their HVAC system in around 90 of the 150 schools in the district however none of that work will be done until the end of next year yeah parents need to prepare there's going to be some hot classrooms Spencer we'll keep checking in thanks
0nkMqPqn,Albuquerque Pulse,Well mr “ reputable “ lawyer why are you in a California court trying to keep you’re law license and telling them you never told trump or Pense they could just throw out the electoral college vote? Can’t have it both ways either you did or didn’t. Pick one!,Reputed Lawyer John Eastman Denies Alleged Role in Trump's 2020 Election Challenge,https://newsbreak.com/n/0nkMqPqn,Attorney John Eastman named as one of the potential co-conspirators in the Trump indictment,New Mexico attorney John Eastman named as one of the potential co-conspirators in the Trump indictment Subscribe to KOAT on YouTube now for more: http://bit.ly/1jocB9r Get more Albuquerque news: http://www.koat.com Like us: http://facebook.com/KOAT7 Follow us: https://twitter.com/koat7news Instagram: https://www.instagram.com/koat7/,"MATTER FOR THE COURTS, NOT CONGRESS. SANTA FE ATTORNEY JOHN EASTMAN MAY BE INCLUDED IN THE INDICTMENT. CNN HAS IDENTIFIED EASTMAN AS ONE OF SIX UNNAMED COCONSPIRATORS. EASTMAN WORKED WITH FORMER PRESIDENT TRUMP AND IS ACCUSED IN COURT FILINGS OF PROMOTING THE IDEA THE ELECTION WAS TAINTED BY FRAUD. HE ALSO FACES DISBARMENT IN"
