human label	_id	title
0	0cHgSFsT	Best affordable LED TVs UK : cheap TVs with great resolution , from Samsung , Sony and LG
0	0cQeM9b1	Off-duty female officer fatally shoots woman after finding her with partner : Police
0	0cNmtdyM	Brrr ... Last Six Months for Antarctica Coldest on Record -- Hey Dopey @AOC
0	0cNOePwx	Yellen : The U.S. should never be in the position to invoke 14th Amendment on extending debt limit
0	0cMCaXs8	Forsaken Complete Guide -- Cold War Zombies -- All Easter Eggs & More
0	0cRnD7aE	PGA tour record by Im Sung-jae from South Korea | South Korea news | NewsRme
0	0cLZteqs	` These F*cker s Have Lied to Us for Long Enough ! ' Megyn Kelly EXPLODES on Biden Administration , Scientists for ` Lies ' on Covid Origin
0	0cUNBqYX	Wyoming vs. New Mexico College Football Odds , Plays and Insights
0	0cEP61ut	Week 5 college football picks , bold predictions led by SEC showdowns , Notre Dame-Cincinnati
0	0cEGC3mv	MISS MADELINE RETURNS
0	0cS9Lj8t	Tesla driver 's 2019 complaint on software is rejected by NHTSA
0	0cEPeQq0	Timeline : Dubai Expo 2020 opens to the world
1	0cS1o2DY	The Untold Truth Of Steve Irwin 's Son , Robert
0	0cF7ElaZ	Iksar 's Twitter Q&A # 31 Summary -- Next Focus After Mercenaries , Bigger Expansion Late in 2022 , Balance Changes Philosophy , New Cosmetics
0	0cJNoZzW	770 pounds of ` high-grade marijuana ' found in Brevard County
0	0cRpzevU	Victory over Kearney locks the Lady Pirates in as the number two seed in the Class 4 District 8 Tournament
1	0cQ8NkxB	Will Super Bowl LVI Come Down to Buccaneers VS Chiefs Again ?
1	0cFd1Gy7	The Different Types of Water Filters for Your Home
2	0cUgMHZY	Wait , Did Aunt KiKi Just Hint At Taking Naughty Photos With Uncle Dale ?!
0	0cLJXV8V	Rockstar announces Grand Theft Auto trilogy re-release , with new improvements
0	0cKDo2CD	October 6 , 2021 -LRB- 3 -RRB-
0	0cV0EA7d	Tulsa Family Relieved After Loved One 's Murderer Sentenced To Life
0	0cOpcQdQ	US health experts warn of ` twindemic '
0	0cS4d19r	Writing workshop offered for teens
1	0cN1h4xG	Check out these homes for sale in Ridgecrest now
0	0cQQC6R4	Carville Talks Biden Agenda , Implications Of Virginia Gubernatorial Race
0	0cSM9ai9	A Comprehensive Breakdown About Why Samuel L. Jackson Does n't Have An Oscar
0	0cQ0603O	2-Headed Baby Turtle Thrives At Massachusetts Animal Refuge
0	0cLlCGBb	Men 's Hockey : Preview of Badgers season opener against Michigan Tech
0	0cV44BkZ	Nairobi Business Ventures acquires 4 Kenyan Firms for Ksh . 3 Billion
0	0cMO8yg6	tecno spark 7t price cut on amazon : Buy Tecno Spark 7T with 6000mAh battery at just Rs .449 , get up to Rs .8050 off -- tecno spark 7t price went down on amazon great indian festival exchange offer upto rs 8050 emi and flat discount
0	0cHTOtb2	Daily Coping 4 Oct 2021
0	0cSHeI1W	A welcome return to normal as the NBA season tips off
0	0cF6JDsb	Long st
0	0cN0i0O8	Sunday Morning Services October 10 , 2021
0	0cRfsL2C	Winter gas bill spike expected for CenterPoint customers
0	0cKJYsCo	Mr. Food : Java Nuts
1	0cFoSekQ	How To | Wash & Go | Volume + Definition | Natural Hair
0	0cHz8ioU	I PUSHED AMY IN THE POOL !!! NOW SHE 'S MAD AT ME SMH !! ...
0	0cKj8PzI	Shannen Doherty Found Strength and Support In Her Cancer Journey On Instagram
1	0cFkSOoy	Rock Legend Rick Springfield Shares His Five Go-To Listens
0	0cUiZZbr	5-year-old dies in SC collision
0	0cOZGEYo	Kirk Herbstreit touches on Michigan 's backup QB situation , likens Big Ten East to old SEC West
0	0cRfXvu1	Daniel Jones moves closer to playing vs. Rams
0	0cGUAmIv	GST Sleuths Raid Jewellery Stores Across 12 Cities In Odisha
0	0cH6Fkfq	Ultra Screen Saver Maker 22.0
0	0cOdMmjq	IDPH Reports Downward Trend In COVID-19 Hospitalizations
0	0cFfQIap	So you lost a wallet or a phone -- or a horse . Senegal has a Facebook page for that
0	0cJduk7P	663 N 10th Street
0	0cThF8OX	1 dead after vehicle , South Shore train collide in Gary
0	0cIpG3we	Kjaer responds to questions over potential Milan renewal : `` The club knows my opinion ''
0	0cOMhjpf	Home For Sale : 96135 S 4542 Road , Vian , OK 74962 | CENTURY 21
0	0cKJdNSw	YorkMix Hero Awards -- Meet the finalists for the Parent/Guardian of the Year award
0	0cPnJmZ6	Kosovo police clash with ethnic Serbs during smuggling raids
0	0cLdvZJz	Ex-jail director to serve time in jail once called inhumane
0	0cNpzqHQ	Local lawmaker pushes alternative for unvaccinated workers ahead of mandate deadline
0	0cSAViS0	Friday 's Weather : Cold front arrives today !
2	0cIZnoJz	At This Book Club , the Truth Is About to Come Out . It 's Not Pretty .
0	0cT9RS9t	Lynn Wilson appointed deputy CMO for radiation oncology at Smilow Cancer Hospital
0	0cRZVqGQ	Biden Taps Battery Park City Authority Chief as Ambassador to Greece
0	0cTYufhF	Lassen Family Services announces annual Wreath Laying Ceremony
0	0cIGgBlo	How a simple question can save a life : BetterMe 's guide on taking care of people with mental conditions
0	0cTQ6MMd	Downey High Varsity Girls Volleyball Defeats Warren , Again
1	0cMCaUDx	ICYMI : Pooches , puppets and paintings
0	0cJJR4HB	Stage Gear 4 - Guitars And Poses
0	0cMa1Yc7	Greater Vancouver Zoo wins award for special program
